name,uuid,external_item_id,display_name,description,category,gtin_14,mpn,photo_url_list,salt_id,source_divisions
Ferraro Foods - NCR - Division 2 (New Jersey),3019c836-1136-4ee4-a86a-eab305713665,0000245,"PRODUCE CARROTS PEELED 1"" REF",Brand: PACKER | Pack Size: 1 X 5#,PRODUCE,,,,0192a4ff-b46e-7b87-9c6f-cc5ee283ff34,div2_nj
Ferraro Foods - NCR - Division 3 (North Carolina),eee4edff-06fb-4d4a-98c0-7ac74feea6fc,0000250,PRODUCE POTATO 100 CT IDAHO DRY,Brand: PACKER | Pack Size: 1 X 100 CT,PRODUCE,,,,0195cbb3-d8c0-7da1-9935-e19ff3c5c59e,"div2_nj, div3_nc"
Ferraro Foods - NCR - Division 3 (North Carolina),ed79ab5f-3c9e-4f31-afe5-4047ff3bbbdd,0000256,PRODUCE PEPPER JALAPENO REF,Brand: PACKER | Pack Size: 1 X 10LB,PRODUCE,,,,0195cbb3-dca3-7e42-91d0-672a3990ac6a,"div14_ny_east, div2_nj, div3_nc, div5_md"
Ferraro Foods - NCR - Division 5 (Maryland),0ed9dfb0-35ad-4741-9041-5b448fb6469d,0000257,AVOCADO HALVES IQF FRZ,Brand: SIMPLOT | Pack Size: 12 X 2 LB,FROZEN GROCERY,,1790268938,,01989f64-2c0f-7d9a-88e0-7bc172344a24,"div2_nj, div5_md"
Ferraro Foods - NCR - Division 6 (Connecticut),06f33108-a33e-438a-847e-4686b7b9ebcb,0000262,PRODUCE KALE BABY GREEN REF,Brand: PACKER | Pack Size: 2 X 2LB,PRODUCE,,,,01966dfd-943e-7407-bd9e-ff99bf4dc68a,div6_ct
Ferraro Foods - NCR - Division 2 (New Jersey),4c4afa82-e6fb-4e6c-9644-076e840a8a16,0000266,PROD ESCAROLE 6CT RP REF,Brand: PACKER | Pack Size: 1 X 6CT,PRODUCE,,,,0195cbb3-d9da-7d52-816a-e20eb3524434,div2_nj
Ferraro Foods - NCR - Division 2 (New Jersey),85750615-d0a0-4927-8918-a8c9a5838321,0000299,PRODUCE ENDIVE BELGIAN REF,Brand: PACKER | Pack Size: 1 X 10#,PRODUCE,,,[],01952ffa-cdb6-7a65-9b5f-9d0a650ef420,div2_nj
Ferraro Foods - NCR - Division 5 (Maryland),b519a496-7bcb-4472-86d2-65c0a204ddd1,0000302,PRODUCE LEMONS REF,Brand: PACKER | Pack Size: 1 X 165,PRODUCE,,,['https://s3.amazonaws.com/media.usepepper.com/suppliers/8e3e05fc-cab8-4a55-a3aa-21ac491d2ad9/items/1d572b3d-df3a-5654-80b2-24febbb4ce6c.jpg'],00000000-0000-0000-0000-000000000000,div5_md
Ferraro Foods - NCR - Division 2 (New Jersey),cb32dff9-6475-42fb-829e-6d4870a70e97,0000303,PROD CARDONE,Brand: OCEAN MIST | Pack Size: 1 X 38#,PRODUCE,,,['https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/f2a68778-aca9-4d68-8941-aab91629df50.png'],00000000-0000-0000-0000-000000000000,div2_nj
Ferraro Foods - NCR - Division 5 (Maryland),8a998e96-4190-46bc-9428-2055134cf4f4,0000310,PRODUCE LETTUCE ICEBERG CALIFORNIA REF,Brand: PACKER | Pack Size: 1 X 12CT,PRODUCE,,,['https://s3.amazonaws.com/media.usepepper.com/suppliers/8e3e05fc-cab8-4a55-a3aa-21ac491d2ad9/items/b15f5561-48b9-5b37-8655-ef6fd4b32f07.jpg'],00000000-0000-0000-0000-000000000000,div5_md
