name,uuid,external_item_id,display_name,description,category,gtin_14,mpn,photo_url_list,salt_id,source_divisions
Ferraro Foods - NCR - Division 2 (New Jersey),b883c503-542f-492d-9b00-f8cd3d92c7cd,3800303,"CRUST PIZZA PARBAKED 16"" EXTRA THIN FRZ",Brand: RICH'S | Pack Size: 40 X 9OZ,FROZEN GROCERY,49800219571.0,21957,,0198a661-c2b4-792d-9fec-0e8f64c8bcdc,div2_nj
Ferraro Foods - NCR - Division 14 (New York East),4db1f982-2a6b-486f-80de-1c332910e6ff,4708008,DRESSING GOLDEN ITALIAN POURABLE BULK DRY,Brand: COUNTRY BRAND | Pack Size: 4 X 1 GAL,GROCERY,,FDGI0FZC,"['https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/61899fd6-b720-5c2d-b1f5-b160eafda7e5.jpg', 'https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/eb2e62c4-49e5-516a-85f7-72ebf3aea578.jpg', 'https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/161a6a7a-de0f-5496-9d62-f4336fb846d9.jpg', 'https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/e720c279-52c6-54c6-86ac-414817b056f5.jpg', 'https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/b53d61a7-29b5-51c4-898a-529c72d9c7ea.jpg', 'https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/eb52cfa6-f6e8-5933-acac-910479b5fcc1.jpg']",0192a4ff-a023-748c-90e6-90f93f2249d3,"div12_florida, div14_ny_east, div2_nj, div3_nc, div5_md"
Ferraro Foods - NCR - Division 6 (Connecticut),1c54cbfa-c8b2-4290-8026-374206b10589,180666,CHEESE ASIAGO MILD BROWN WAX HALF WHEEL REF,Brand: STELLA | Pack Size: 1 X 11 LB,SPECIALITY CHEESE,90075805601205.0,1006589,,0198c30f-0832-7bf0-b894-c4d0a6a9d913,"div5_md, div6_ct"
Ferraro Foods - NCR - Division 5 (Maryland),1895d48e-4506-4d33-9080-576a90809070,8000440,CLEANER DISINFECTANT SANITIZER DRY,Brand: ECO LAB | Pack Size: 1 X 2.5GAL,OTHER,10025469050318.0,6102046,[],019837e1-9702-7242-a356-7ba61d1d8d9f,"div12_florida, div2_nj, div3_nc, div5_md"
Ferraro Foods - NCR - Division 3 (North Carolina),9bc1e367-6662-41e7-9104-3e37682e83a1,0920153,BUTTER EUROPEAN STYLE WHIPPED CUPS ZTF PORTION CONTROL FRZ,Brand: SUNGLOW | Pack Size: 720 X 5GR,DAIRY,10026700134057.0,485499,['https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/8871b4f2-1a29-4300-b7d9-11eb988a7efb.jpg'],01988aac-ef44-7db7-9d45-ca17492aec03,"div2_nj, div3_nc"
Ferraro Foods - NCR - Division 5 (Maryland),2d54fb88-12a9-4444-8455-2f190a466998,7800510,CLAMS STRIPS BREADED 4 OZ IQF FRZ,Brand: CAPTAIN FRED | Pack Size: 24 X 4OZ,SEAFOOD,79212021134.0,349670,,019c512b-8ee3-74f7-b88e-888d9d1ffed9,div5_md
Ferraro Foods - NCR - Division 3 (North Carolina),ada66dec-83ec-4d57-8ad3-7b378bbf9b17,1200004,TOMATOES PASSATA IL MULINO DIVINO CANNED DRY,Brand: STANISLAUS | Pack Size: 6 X #10CN,TOMATOES,30071933349819.0,34981,,01990beb-5ba9-75d7-bbf6-4502c7d63a42,"div12_florida, div14_ny_east, div2_nj, div3_nc, div5_md, div6_ct"
Ferraro Foods - NCR - Division 3 (North Carolina),485626f4-b2bc-4a37-915f-06340bac3a10,5020311,CREAMERS NON-DAIRY FRENCH VANILLA LIQUID SINGLE SERVE REF,Brand: INT'L DELIGHT | Pack Size: 1 X 192CT,GROCERY,41271009361.0,574577,,01988aac-d464-7b9b-b3db-d309d996ccaf,div3_nc
Ferraro Foods - NCR - Division 6 (Connecticut),5c2a7d5b-6d9e-4c68-bcee-a9ad853f6b67,450794,PASTA PENNE RIGATE #20 BULK DRY,Brand: NAPOLI | Pack Size: 2 X 10LB,PASTA,,,"['https://s3.amazonaws.com/media.usepepper.com/suppliers/998c2140-ee60-4424-92d4-94e5bd3d13e5/items/84685a13-3933-517a-ad30-49febf6b6770.jpg', 'https://s3.amazonaws.com/media.usepepper.com/suppliers/998c2140-ee60-4424-92d4-94e5bd3d13e5/items/13cafc67-90ba-5e8e-80bd-91a7db91274d.jpg', 'https://s3.amazonaws.com/media.usepepper.com/suppliers/998c2140-ee60-4424-92d4-94e5bd3d13e5/items/058803f7-52b2-5cdf-9ec8-974081d25408.jpg', 'https://s3.amazonaws.com/media.usepepper.com/suppliers/998c2140-ee60-4424-92d4-94e5bd3d13e5/items/5ea5f55b-e027-5842-8063-2c79f7bfa212.jpg']",00000000-0000-0000-0000-000000000000,div6_ct
Ferraro Foods - NCR - Division 14 (New York East),f33112f8-8a56-4a40-9148-9e88d4d40afb,6000878,CONTAINER PLASTIC RECTANGLE 28 OZ 6X8X2.1 W/ LID COMBO BLACK MICROWAVABLE DRY,Brand: PACKER | Pack Size: 1 X 150CT,NON-FOOD DISPOSABLES,,F9628,"['https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/d6b2e21d-4dea-5ceb-b828-3b1e39f1ef18.png', 'https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/ff971e0c-6cef-5642-94cc-03d9b239ac0c.png', 'https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/859fa6e1-3cbf-5397-856c-65b235b2d9c4.png']",01966dfd-9aee-7835-b774-61c88907c0d1,"div14_ny_east, div2_nj"
Ferraro Foods - NCR - Division 6 (Connecticut),77d8f8d9-a14c-4ac7-b110-93791d79157c,180122,CHEESE MOZZARELLA PART SKIM BLOCK REF,Brand: NAPOLI | Pack Size: 8 X 6#,COMMODITY CHEESE,,10001432,,00000000-0000-0000-0000-000000000000,div6_ct
Ferraro Foods - NCR - Division 14 (New York East),a7eb9cf0-951c-4a70-b175-65d8a5ff5ff6,7600659,TUNA SOLID SMALL 5 OZ CANNED RETAIL DRY,Brand: PACKER | Pack Size: 48 X 5OZ,SEAFOOD,,NAN,['https://s3.amazonaws.com/media.usepepper.com/suppliers/b56a09d3-3926-4d2e-9190-0e7a97a73afe/items/adbf4f4e-c2fe-5828-a303-ff9c97c3bb5d.png'],00000000-0000-0000-0000-000000000000,div14_ny_east
Ferraro Foods - NCR - Division 14 (New York East),0d44ece4-dd27-4a3b-8afa-2a2bb19b8183,4400737,CAKE CARROT UNSLICED BIG FRZ,Brand: SWEET STREET | Pack Size: 2 X 8.8#,DESSERTS,10749017011650.0,1165,[],019837e8-1384-7094-ac8b-1b087daba601,div14_ny_east
Ferraro Foods - NCR - Division 6 (Connecticut),9e391382-3237-4e6b-b8b5-3650122a0e5e,4400281,CAKE DREAMIN' OF CHOCOLATE 12 SLICE GLUTEN FREE FRZ,Brand: INSPIRED BY HAP | Pack Size: 2 X 61 OZ,DESSERTS,10770118300107.0,609235,['https://s3.amazonaws.com/media.usepepper.com/suppliers/998c2140-ee60-4424-92d4-94e5bd3d13e5/items/ea9ffd52-042f-5bd2-b252-e9134141a4aa.jpg'],01990bd6-09e7-7837-874e-e5590ebaa26b,div6_ct
