Level I,Level II,Level III
Beef,"Steaks, Cubed, Cutlet & Braising Swiss, Frozen","Steak, Swiss, Raw, Frozen"
Beef,"Steaks, Cubed, Cutlet & Braising Swiss, Frozen","Steaks, Cubed, Frozen"
Beef,"Steaks, Cubed, Cutlet & Braising Swiss, Refrigerated","Cutlet, Raw, Refrigerated"
Beef,"Steaks, Cubed, Cutlet & Braising Swiss, Refrigerated","Steak, Swiss, Raw, Refrigerated"
Beef,"Steaks, Cubed, Cutlet & Braising Swiss, Refrigerated","Steaks, Cubed, Refrigerated"
Beef,"Steaks, Loins, Frozen","Steaks, Bottom, Sirloin, Frozen"
Beef,"Steaks, Loins, Frozen","Porterhouse, Frozen"
Beef,"Steaks, Loins, Frozen","Strip, Frozen"
Beef,"Steaks, Loins, Frozen","T-Bone, Frozen"
Beef,"Steaks, Loins, Frozen","Tenderloin, Frozen"
Beef,"Steaks, Loins, Frozen","Top Sirloin, Frozen"
Beef,"Steaks, Loins, Refrigerated","Bottom, Sirloin, Refrigerated"
Beef,"Steaks, Loins, Refrigerated","Porterhouse, Refrigerated"
Beef,"Steaks, Loins, Refrigerated","Strip, Refrigerated"
Beef,"Steaks, Loins, Refrigerated","T-Bone, Refrigerated"
Beef,"Steaks, Loins, Refrigerated","Tenderloin, Refrigerated"
Beef,"Steaks, Loins, Refrigerated","Top Sirloin, Refrigerated"
Beef,"Offal, Frozen","Liver, Sliced, Frozen"
Beef,"Offal, Frozen","Other Parts/Cuts, Raw, Frozen"
Beef,"Steaks, Hanging Tenders, Raw, Frozen","Steaks, Hanging Tenders, Raw, Frozen"
Beef,"Steaks, Hanging Tenders, Raw, Refrigerated","Liver, Sliced, Refrigerated"
Beef,"Offal, Refrigerated","Other Parts/Cuts, Raw, Refrigerated"
Beef,"Steaks, Hanging Tenders, Raw, Refrigerated","Hanging Tenders, Raw, Refrigerated"
Beef,"Steaks, Rib, Frozen","Ribeye, Frozen"
Beef,"Steaks, Rib, Refrigerated","Ribeye, Refrigerated"
Beef,"Steaks, Rounds, Frozen","Rounds, Raw, Frozen"
Beef,"Steaks, Rounds, Refrigerated","Rounds, Raw, Refrigerated"
Beef,"Steaks, Thin Meats, Frozen","Flank Steak, Portioned, Frozen"
